FBgn0000042	MFBST.11286	MFBST.12241	0.6830198271479411	0.8954224041682174
FBgn0000043	MFBST.2570	FBgn0236780	0.7338173018753781	0.45754328112118714
FBgn0000043	MFBST.2570	MFBST.2519	0.5475387727579232	0.4618226600985222
FBgn0000043	MFBST.2570	MFBST.2528	0.9368179207352096	0.9362354383813611
FBgn0000043	MFBST.2570	MFBST.2531	0.5782190132370638	0.42247658688865763
FBgn0000043	MFBST.2570	MFBST.2532	0.2752953261427838	0.4564676616915423
FBgn0000043	MFBST.2570	MFBST.2534	0.4693381906496661	0.4411384217335058
FBgn0000044	MFBST.4462	FBgn0275843	0.14076576576576577	0.496
FBgn0000044	MFBST.4462	MFBST.3957	0.9642660802638813	0.9749144811858609
FBgn0000044	MFBST.4462	MFBST.3963	0.25042111173498033	0.44170403587443946
FBgn0000045	MFBST.7521	FBgn0239812	0.3691275167785235	0.4984848484848485
FBgn0000045	MFBST.7521	FBgn0276017	0.2384142936906756	0.4707259953161593
FBgn0000045	MFBST.7521	FBgn0276747	0.4266592303402119	0.45098039215686275
FBgn0000045	MFBST.7521	MFBST.7522	0.41913167938931295	0.443938531587934
FBgn0000045	MFBST.7521	MFBST.7525	0.5054254711593376	0.47966101694915253
FBgn0000045	MFBST.7521	MFBST.7529	0.5891006352390504	0.48240635641316687
FBgn0000045	MFBST.7521	MFBST.7530	0.522930648769575	0.7529411764705882
FBgn0000045	MFBST.7521	MFBST.7531	0.8720472440944882	0.4672686230248307
FBgn0000045	MFBST.7521	MFBST.7532	0.21296813862493014	0.47244094488188976
FBgn0000045	MFBST.7521	MFBST.7534	0.2245810055865922	0.4651741293532338
FBgn0000046	MFBST.8707	MFBST.9012	0.8786919831223629	0.978391356542617
FBgn0000046	MFBST.8707	MFBST.9015	0.49488972565895645	0.43369565217391304
FBgn0000046	MFBST.8707	MFBST.9016	0.2785560344827586	0.43520309477756286
FBgn0000046	MFBST.8707	MFBST.9017	0.3191603875134553	0.4620573355817875
FBgn0000047	MFBST.8922	MFBST.9171	0.4402467232074017	0.46409807355516636
FBgn0000047	MFBST.8922	MFBST.9182	0.9613500272182907	0.9535673839184597
FBgn0000055	MFBST.1765	MFBST.1774	0.19071461083295402	0.513126491646778
FBgn0000055	MFBST.1765	MFBST.1778	0.21129326047358835	0.4418103448275862
FBgn0000055	MFBST.1765	MFBST.1779	0.24487938097405554	0.5092936802973977
FBgn0000055	MFBST.1765	MFBST.1781	0.5466847090663058	0.45957095709570955
FBgn0000078	MFBST.4005	FBgn0229450	0.5172619047619048	0.4533947065592635
FBgn0000078	MFBST.4005	MFBST.4731	0.19318181818181818	0.48297213622291024
FBgn0000078	MFBST.4005	MFBST.4732	0.1807875894988067	0.41914191419141916
FBgn0000078	MFBST.4005	MFBST.4733	0.23448687350835323	0.49363867684478374
FBgn0000078	MFBST.4005	MFBST.4734	0.6328217237308147	0.4468283582089552
FBgn0000078	MFBST.4005	MFBST.4736	0.9586919104991394	0.9461400359066428
FBgn0000078	MFBST.4005	MFBST.4738	0.9211908931698775	0.9474017743979721
FBgn0000078	MFBST.4005	MFBST.4746	0.25448028673835127	0.45774647887323944
FBgn0000078	MFBST.4005	MFBST.4747	0.5378201310303752	0.4540420819490587
FBgn0000079	MFBST.4002	MFBST.4731	0.1812042768711311	0.4813664596273292
FBgn0000079	MFBST.4002	MFBST.4732	0.1702247191011236	0.504950495049505
FBgn0000079	MFBST.4002	MFBST.4733	0.22078651685393258	0.4529262086513995
FBgn0000079	MFBST.4002	MFBST.4734	0.5988857938718662	0.4409302325581395
FBgn0000079	MFBST.4002	MFBST.4736	0.9708683473389356	0.9244085401038661
FBgn0000079	MFBST.4002	MFBST.4738	0.8998321208729715	0.957089552238806
FBgn0000079	MFBST.4002	MFBST.4747	0.5047619047619047	0.45615982241953384
FBgn0000083	MFBST.9485	MFBST.8118	0.5360104757747708	0.4568403908794788
FBgn0000083	MFBST.9485	MFBST.8124	0.48081952920662596	0.46509519492293744
FBgn0000083	MFBST.9485	MFBST.8127	0.1613603473227207	0.46322869955156953
FBgn0000083	MFBST.9485	MFBST.8129	0.3761467889908257	0.4413472706155633
FBgn0000083	MFBST.9485	MFBST.8130	0.5473592317765168	0.49920255183413076
FBgn0000083	MFBST.9485	MFBST.8143	0.38454823221300743	0.43473325766174803
FBgn0000100	MFBST.7528	FBgn0276479	0.34296296296296297	0.958963282937365
FBgn0000100	MFBST.7528	MFBST.7527	0.5173343605546995	0.47282204020848845
FBgn0000100	MFBST.7528	MFBST.7529	0.4497816593886463	0.48469006721433905
FBgn0000100	MFBST.7528	MFBST.7530	0.6759530791788856	0.44685466377440347
FBgn0000100	MFBST.7528	MFBST.7533	0.9630996309963099	0.9425287356321839
FBgn0000276	FBgn0000276	FBgn0277300	0.7464387464387464	0.5687022900763359
FBgn0000276	FBgn0000276	MFBST.10583	0.3988439306358382	0.42028985507246375
FBgn0000276	FBgn0000276	MFBST.10587	0.39823008849557523	0.5111111111111111
FBgn0000276	FBgn0000276	MFBST.10588	0.40294117647058825	0.49635036496350365
FBgn0000276	FBgn0000276	MFBST.10592	0.16335433834222007	0.49851632047477745
FBgn0000276	FBgn0000276	MFBST.10597	0.6950207468879668	0.4417910447761194
FBgn0000277	FBgn0000277	FBgn0277300	0.7138964577656676	0.5725190839694656
FBgn0000277	FBgn0000277	MFBST.10583	0.4084507042253521	0.4827586206896552
FBgn0000277	FBgn0000277	MFBST.10585	0.39154929577464787	0.5107913669064749
FBgn0000277	FBgn0000277	MFBST.10586	0.3848314606741573	0.44525547445255476
FBgn0000277	FBgn0000277	MFBST.10587	0.38028169014084506	0.5481481481481482
FBgn0000277	FBgn0000277	MFBST.10588	0.38873239436619716	0.5362318840579711
FBgn0000279	MFBST.10522	FBgn0277300	0.6280193236714976	0.5653846153846154
FBgn0000279	MFBST.10522	MFBST.10586	0.3383084577114428	0.49264705882352944
FBgn0000279	MFBST.10522	MFBST.10587	0.3375	0.5037037037037037
FBgn0000279	MFBST.10522	MFBST.10588	0.3251231527093596	0.5151515151515151
FBgn0000357	FBgn0000357	MFBST.5584	0.7945205479452054	0.4090909090909091
FBgn0000357	FBgn0000357	MFBST.5589	0.33843797856049007	0.46153846153846156
FBgn0000427	MFBST.11465	MFBST.12157	0.024398806389327718	0.48201438848920863
FBgn0000427	MFBST.11465	MFBST.12163	0.7720952533162858	0.8712481887807907
FBgn0000427	MFBST.11465	MFBST.12164	0.27014716187806587	0.46433203631647213
FBgn0000427	MFBST.11465	MFBST.12165	0.08859649122807017	0.43366336633663366
FBgn0000427	MFBST.11465	MFBST.12168	0.15728563913729615	0.49498327759197325
FBgn0000477	MFBST.9167	FBgn0277306	0.9089068825910931	0.4365256124721604
FBgn0000477	MFBST.9167	MFBST.7803	0.5186813186813187	0.4689265536723164
FBgn0000477	MFBST.9167	MFBST.7811	0.9013254786450663	0.8856209150326797
FBgn0000489	MFBST.6797	FBgn0237140	0.5410641989589358	0.4901122394441475
FBgn0000489	MFBST.6797	FBgn0240022	0.5059265683723619	0.4582857142857143
FBgn0000489	MFBST.6797	FBgn0277360	0.18650448885027512	0.4580745341614907
FBgn0000489	MFBST.6797	MFBST.13089	0.9253731343283582	0.4387694145758662
FBgn0000489	MFBST.6797	MFBST.13092	0.46558704453441296	0.45279503105590063
FBgn0000489	MFBST.6797	MFBST.13093	0.28824383164005807	0.46827794561933533
FBgn0000489	MFBST.6797	MFBST.13095	0.32956521739130434	0.4714160070360598
FBgn0000489	MFBST.6797	MFBST.13097	0.46757382744643894	0.4718266253869969
FBgn0000489	MFBST.6797	MFBST.13098	0.3263127524523947	0.47568523430592397
FBgn0000489	MFBST.6797	MFBST.13099	0.3300378016865368	0.49162995594713654
FBgn0000489	MFBST.6797	MFBST.13100	0.17942028985507247	0.481421647819063
FBgn0000489	MFBST.6797	MFBST.13102	0.4766734279918864	0.44984802431610943
FBgn0000489	MFBST.6797	MFBST.13103	0.44296467863346844	0.48366013071895425
FBgn0000489	MFBST.6797	MFBST.13105	0.6382855487981466	0.9060798548094374
FBgn0000489	MFBST.6797	MFBST.13107	0.8448019801980198	0.451801933782596
FBgn0000489	MFBST.6797	MFBST.7081	0.13695841814480952	0.505307855626327
FBgn0000489	MFBST.6797	MFBST.7082	0.4801391707741374	0.4788647342995169
FBgn0000489	MFBST.6797	MFBST.7083	0.6461048363741674	0.8978036754818467
FBgn0000500	MFBST.7646	FBgn0276123	0.3637702503681885	0.42105263157894735
FBgn0000500	MFBST.7646	MFBST.7602	0.19792899408284023	0.4678624813153961
FBgn0000500	MFBST.7646	MFBST.7604	0.2692	0.4725111441307578
FBgn0000500	MFBST.7646	MFBST.7607	0.8763020833333334	0.4472511144130758
FBgn0000500	MFBST.7646	MFBST.7608	0.6808823529411765	0.42332613390928725
FBgn0000500	MFBST.7646	MFBST.7609	0.8321273516642547	0.4573913043478261
FBgn0000500	MFBST.7646	MFBST.7612	0.6244477172312224	0.4882075471698113
FBgn0000504	MFBST.8049	MFBST.8203	0.429024751427967	0.4541420118343195
FBgn0000504	MFBST.8049	MFBST.8204	0.13198724760892666	0.4782608695652174
FBgn0000504	MFBST.8049	MFBST.8207	0.4560322854715378	0.6124825337680484
FBgn0000504	MFBST.8049	MFBST.8220	0.09193445413917854	0.47453703703703703
FBgn0000551	FBgn0000551	FBgn0239570	0.8593117408906883	0.45229681978798586
FBgn0000551	FBgn0000551	MFBST.12995	0.48036253776435045	0.42872117400419285
FBgn0000551	FBgn0000551	MFBST.12999	0.3692367299496319	0.48478488982161594
FBgn0000551	FBgn0000551	MFBST.13001	0.2534246575342466	0.49584199584199584
FBgn0000551	FBgn0000551	MFBST.13002	0.4680019540791402	0.4498956158663883
FBgn0000551	FBgn0000551	MFBST.7183	0.23172514619883042	0.5120925341745531
FBgn0000551	FBgn0000551	MFBST.7185	0.8518189884649512	0.44583333333333336
FBgn0000551	FBgn0000551	MFBST.7187	0.45737547892720304	0.450261780104712
FBgn0000551	FBgn0000551	MFBST.7188	0.7557312252964427	0.45502092050209203
FBgn0000551	FBgn0000551	MFBST.7190	0.8885767790262172	0.4183350895679663
FBgn0000560	MFBST.7501	FBgn0237126	0.6751035434882651	0.880027266530334
FBgn0000560	MFBST.7501	FBgn0239522	0.37632275132275134	0.4850615114235501
FBgn0000560	MFBST.7501	FBgn0239525	0.467109634551495	0.47368421052631576
FBgn0000560	MFBST.7501	MFBST.7109	0.7989487516425755	0.4555921052631579
FBgn0000560	MFBST.7501	MFBST.7110	0.44404332129963897	0.4600271002710027
FBgn0000560	MFBST.7501	MFBST.7113	0.8440610484406105	0.4827044025157233
FBgn0000560	MFBST.7501	MFBST.7114	0.6429512516469038	0.45286885245901637
FBgn0000560	MFBST.7501	MFBST.7115	0.9104938271604939	0.43186440677966104
FBgn0000560	MFBST.7501	MFBST.7116	0.915136162127929	0.45051903114186853
FBgn0000560	MFBST.7501	MFBST.7117	0.6818783068783069	0.4801163918525703
FBgn0000560	MFBST.7501	MFBST.7516	0.3284671532846715	0.4707070707070707
FBgn0000560	MFBST.7501	MFBST.7522	0.35526315789473684	0.46936026936026937
FBgn0000592	MFBST.6468	FBgn0276198	0.15178096757044127	0.46935201401050786
FBgn0000592	MFBST.6468	MFBST.6507	0.1331376734258271	0.44288577154308617
FBgn0000592	MFBST.6468	MFBST.6509	0.5745358090185676	0.45106186518928904
FBgn0000592	MFBST.6468	MFBST.6523	0.49512002110261144	0.878529568460309
FBgn0000592	MFBST.6468	MFBST.6524	0.46352502662406814	0.8834003446295232
FBgn0000594	MFBST.6468	FBgn0276198	0.15178096757044127	0.46935201401050786
FBgn0000594	MFBST.6468	MFBST.6507	0.1331376734258271	0.44288577154308617
FBgn0000594	MFBST.6468	MFBST.6509	0.5745358090185676	0.45106186518928904
FBgn0000594	MFBST.6468	MFBST.6523	0.49512002110261144	0.878529568460309
FBgn0000594	MFBST.6468	MFBST.6524	0.46352502662406814	0.8834003446295232
FBgn0001091	MFBST.2788	MFBST.1978	0.87740225314778	0.46299093655589124
FBgn0001091	MFBST.2788	MFBST.1979	0.9055269922879178	0.44002838892831797
FBgn0001091	MFBST.2788	MFBST.1980	0.45714285714285713	0.44429347826086957
FBgn0001091	MFBST.2788	MFBST.1983	0.621313672922252	0.46817691477885653
FBgn0001091	MFBST.2788	MFBST.1987	0.961892247043364	0.9385245901639344
FBgn0001092	MFBST.12207	MFBST.11750	0.3781450419338925	0.4272667971298108
FBgn0001099	FBgn0001099	FBgn0237174	0.6925021061499579	0.43309002433090027
FBgn0001099	FBgn0001099	FBgn0239463	0.5342929720575783	0.4532488114104596
FBgn0001099	FBgn0001099	FBgn0240340	0.31659574468085105	0.44086021505376344
FBgn0001099	FBgn0001099	FBgn0240343	0.5848101265822785	0.4357864357864358
FBgn0001099	FBgn0001099	FBgn0277301	0.1123404255319149	0.45454545454545453
FBgn0001099	FBgn0001099	MFBST.13123	0.7537562604340567	0.4407530454042082
FBgn0001099	FBgn0001099	MFBST.13124	0.6897717666948436	0.4497549019607843
FBgn0001099	FBgn0001099	MFBST.13125	0.805439330543933	0.44761904761904764
FBgn0001099	FBgn0001099	MFBST.13126	0.7726371447455387	0.4713430282292558
FBgn0001099	FBgn0001099	MFBST.13128	0.8794272795779955	0.4370179948586118
FBgn0001099	FBgn0001099	MFBST.13129	0.683343143025309	0.45564168819982775
FBgn0001099	FBgn0001099	MFBST.13131	0.9051217464315701	0.41929499072356213
FBgn0001099	FBgn0001099	MFBST.13132	0.9132492113564669	0.44127806563039723
FBgn0001099	FBgn0001099	MFBST.13133	0.7363121460037759	0.4717948717948718
FBgn0001099	FBgn0001099	MFBST.7033	0.4856175972927242	0.44947735191637633
FBgn0001099	FBgn0001099	MFBST.7035	0.797971259509721	0.399364406779661
FBgn0001099	FBgn0001099	MFBST.7038	0.7137614678899082	0.47472150814053127
FBgn0001099	FBgn0001099	MFBST.7040	0.896392939370683	0.4246575342465753
FBgn0001099	FBgn0001099	MFBST.7041	0.6767266395821242	0.45368782161234994
